"Pringo – instant photo, instant fun",Pringo – Fun Photo,same
"Propell - bøker, sanger og leker for barn","Propell - sanger, spill og bøker for barn",same
"QUAD - Mobilize Your Groups. Threaded Group Chat With Friends, Family, College Club, Study and Interest Quads.","QUAD - Mobilize Your Groups. Threaded Group Chat and Event Planning With Friends, Family, College Club, Study and Interest Quads.",same
"Quebec, Canada Offline Map","Quebec, Canada Offline Map - PLACE STARS",same
"Quickoffice - edit Office documents, spreadsheets, and presentations",Quickoffice,same
"QuietScrob – background Last.fm scrobbler for music, podcasts and more","QuietScrob – Background Last.fm Scrobbler for Music, Podcasts and More",same
"QuizPedia Quiz Creator - Take, Share and Publish Quizzes.","Quiz Creator - Take, Share and Publish Quizzes by QuizPedia",same
"Race Ace - Real Track Racing, Draw Racing, Grid Racing, Doodle Racing Game","Race Track - Real Racing, Draw Racing, Grid Racing, Free Racing Game",same
"Raj Sing Real Estate VA,DC,MD for iPad","Raj Singh Real Estate VA,DC,MD for iPad",same
"Raj Sing Real Estate VA,DC,MD","Raj Singh Real Estate VA,DC,MD",same
"Readbug - Cult, Classic, Independent and Award-winning Magazines for the Creative and Curious","Readbug - Independent, Cult, Classic and Award-winning Magazines for the Creative and Curious",same
"Real Estate by Redfin – Search Homes, Condos & Town Houses For Sale - Buy or Sell a Home","Real Estate App by Redfin – Search Homes, Condos & Town Houses For Sale - Buy or Sell a Home",same
"Record by Under Armour - Fitness Training, Steps & Sleep Tracking, Weight Loss Community","Record by Under Armour - Exercise Smarter, Feel Better, Live Longer, connects with UA HealthBox",same
"Relax Sounds - Relaxing Nature Melodies for Sleep, Meditation & Yoga - Made by FitSpired.me","Relax Sounds - Free Relaxing Nature & Ambient Melodies for Better Sleep, Nap, Noise Masking, Meditation & Yoga - Made by FitSpired.me",same
"ReplyAll-Pro Calendar - Forward, Reply and Reply All on Meeting Invites by Mail and SMS and Auto Dial Conference Call",ReplyAll-Pro Calendar with Auto Dial Conference Call,same
"Retina HD Backgrounds App Free - What Funny Wallpapers For WhatsApp,Viber,iPhone5","Retina HD Backgrounds App Free - Whats Funny Wallpapers For WhatsApp,Viber",same
"Rheinland Pfalz, Germany Map","Rheinland Pfalz, Germany Map - PLACE STARS",same
"Rhode Island, USA Offline Map","Rhode Island, USA Offline Map - PLACE STARS",same
"Roadio - Driving Instructor (ADI) & Learner Driving Lesson Booking, Management & DSA Driver's Record","Roadio - Driving Instructor (ADI) & Learner Driving Lessons Booking, Management & DSA Driver's Record",same
"Robot Defence: Pick Battery, Erase obstacles",Clean Up Robot (long Version),different
"Romanian Dictionary Box, Słownik","Romanian Dictionary Box, Offline Translator, Pronunciation, Image Search & Flashcards / Engleză - română dicționar",same
"Roomie Solo for TiVo, DirecTV, and Roku","Simple Control One – Media Remote for TiVo, DirecTV, and Roku",same
"Roommates & Rentals: Find roommate, homes & apartments for rent across New York on Roomi.",Roomi - Find the right room & roommate | NYC,same
"Rude Lounge, Mumbai",Rude Lounge,same
"SCREENPro : for Lock Screen, iPhone, iPod touch and iOS7 ( Custom theme Wallpapers )","SCREEN Pro : Custom wallpaper frames ( for iPhone & iPod touch, Lock Screen & Home Screen, and iOS7 )",same
"SQL, DBMS and MySQL by WAGmob","MySQL, SQL and DBMS - A simpleNeasyApp by WAGmob",same
"Saarland, Germany Offline Map","Saarland, Germany Offline Map - PLACE STARS",same
"Safebook pro - save my login, password, document, visa card, mastercard, personal data, scan, and others. Very easy to keep safe your login, password, passport, visa card data, mastercard.","Safebook pro - save my personal data: logins, passwords, passports, etc",same
"Safebook pro - save my personal data: logins, passwords, passports, etc or the best app for saving login password and all private data.","Safebook pro - save my personal data: logins, passwords, passports, etc",same
"Safebook pro - save my personal data: logins, passwords, passports, etc","Safebook pro - save my personal data: logins, passwords, passports, etc or the best app for saving login password and all private data.",same
"Safebook pro - save my personal data: logins, passwords, passports, etc","Safebook pro - save my personal data: logins, passwords, passports, etc or the best app for saving login password and all private data.",same
"Sales Goals On Fire - ""quickly & easily set, track & manage your selling goal, quotas & results""","Sales Goals On Fire: The quickest & easiest way to set, track & manage your selling goal, activities, quota & success",same
"Sao Paulo, Brazil Offline Map","Sao Paulo, Brazil Offline Map - PLACE STARS",same
"Saskatchewan, Canada Map","Saskatchewan, Canada Map - PLACE STARS",same
"Saxony Anhalt, Germany Map","Saxony Anhalt, Germany Map - PLACE STARS",same
"Scratch: gifts ideas, home decor, clothes, and more.",Scratch: personal shoppers on demand,same
"Seasons Wallpapers & Backgrounds - Themes & Styles for Halloween, Christmas, Thanksgiving, New Year, Easter & Others",Seasons Wallpapers & Backgrounds,same
"SeatGeek Tickets - Sports, Concerts & Broadway","SeatGeek – Tickets to Sports, Concerts & Broadway",same
"SendHub - Enterprise PBX Business Phone System App - Free VoIP Voice Calls, Bulk SMS Group Texting For Company Teams","SendHub - Enterprise PBX Business Phone System App - Free VoIP Voice Calls, Bulk SMS Group Texting For Office Company Teams",same
"SendHub - Enterprise PBX Business Phone System App - Free VoIP Voice Calls, Bulk SMS Group Texting For Office Company Teams","Business PBX, Calls & Texts (SendHub)",same
"Sewan: Chat, love and dating singles women","Sewan: Chat, love and dating singles women or making friends",same
"Shanghai, China Offline Map","Shanghai, China Offline Map - PLACE STARS",same
"Sheep Bubble Trapped Rolls To Mega Heights FREE - Sheep Might Be Crazy But Not Angry - The Best Fun And Addicting Adventure Doodle Run, Roll, and Jump Ball Platformer Game Doing Stunts - Casual Game On Fire",Sheep Bubble Trapped FREE - Fun Addicting Game,same
"Sherish - Backup, Protect, Import & Share Your Family Photo Library with Unlimited Storage",Sherish,same
"Shipping Regs (USCG, MARAD, and FMC) - Title 46 Code of Federal Regulations",46 CFR - Shipping (Title 46 Code of Federal Regulations),same
"Shopami: The shopping app for your email offers, coupons, deals & discounts. Online & In-store","Shopami: The shopping app for your email offers, coupons, deals & discounts. Online & In-store.",same
"Shopular Coupons, Weekly Ads & Black Friday 2015 Shopping Deals for Target, Walmart & More","Shopular Coupons, Weekly Ads & Shopping Deals for Target, Walmart, Macy's, Kohl's",same
"Shortwave: All the stuff you want to say in public, but can't",Shortwave: Make waves,same
"Show Me The Money — Personal Finance Manager and Smart Tracker, Expense and Income Tracking, Budget Planner",Show Me The Money — Personal Finance Manager and Smart Tracker,same
"Sight Words - Dolch words to teach kids how to read, learn, and memorize the most common words and alphabet.","Sight Words - Dolch words cards to teach kids how to read, learn, and memorize the most common words, alphabet, and numbers.",same
"Sign It! Optimize your workflow; create personal signatures for your photos, drawings and paintings with a single stroke.","Sign It! Add personal signatures, watermarks or messages to your photos, drawings and paintings with a single stroke.",same
"Skip Traffic! Traffic, speedcams, gas price and cameras in Spain","Skip Traffic! Traffic, speedcams, gas price and traffic cameras in Spain",same
"Skip Traffic!! Traffic, speedcams, gas price and cameras in Spain","Skip Traffic!! Traffic, speedcams, gas price and traffic cameras in Spain",same
"Skip Tunes - Spotify, Rdio, & iTunes Controls","Skip Tunes - Spotify, Rdio, and iTunes Controls",same
"Skitch :Snap, Markup, Send",Skitch - Snap. Mark Up. Send.,same
"SkyDocs - File manager, documents viewer and storage (access and sync docs across Dropbox, Box, GoogleDrive, SkyDrive, SugarSync)","SkyDocs - File manager and documents storage (access to cloud services Dropbox, Box, Google Drive, SkyDrive, SugarSync)",same
"Slideshow DVD Creator - Easily make photo slide show video, burn photo DVD-Video disc and play on TV",Slideshow DVD Creator,same
"Slot Machines for "" Pixels Attack on Title Style """,iSlots for Attack on Titan Pixels : Party Slot Machine for every one,same
"Smart Merge - Duplicate Contacts Cleanup for addressbook, Facebook & Linkedin","Smart Merge Pro - Duplicate Contacts Cleanup for addressbook, Facebook & Linkedin",same
"SnapDrive (Save Snap chats, screenshots - SnapHack)","SnapDrive (Save, Screenshot) for Snapchat",same
"SnapDrive (Save, Screenshot) for Snapchat","ChatDrive (save, screenshot and print for snapchat)",same
"Sochi 2014 is a mobile voice guide by Luscinia, a map, a tour guide, audioguide, monuments, reference book, sites, places, routes","Sochi - is a mobile voice guide by Luscinia, a map, a tour guide, audioguide, monuments, reference book, sites, places, routes, 2014",same
"Sochi Russia - hotels and flights,map and weather,tickets and schedule to games in 2014","Sochi - history and present,map and photos",same
"SofaScore LiveScore - VIDEO highlights & Sports live scores, Football results,Soccer (Brazil 2014, Premier, Champions) league table, fixtures, Tennis (ATP Australian open, WTA,ITF), Basketball games, Ice Hockey NHL, Super Rugby score, Union (Six Nations)","SofaScore LiveScore - VIDEO highlights & Sports live scores, Football results,Soccer (Brazil 2014, Premier, Champions) league table, fixtures, Tennis (ATP Australian Open Championships), Basketball games, Ice Hockey NHL, Rugby, Handball EHF Euro",same
"Solat Malaysia 2013 - Islamic Compass, Prayer Times, Athan Alarm","Solat Malaysia 2014 - Islamic Compass, Prayer Times, Athan Alarm",same
"Sound Sleeper - calming soothing sounds of nature and white noise generator for newborn, infant and baby with sleep tracking","Sound Sleeper - calming soothing sounds of nature, relaxing melodies and white noise generator for newborn, infant and baby with sleep tracking",same
"Sound Sleeper - calming, soothing and relaxing sounds of nature and white noise generator for relaxation, meditation, rest and better sleep.","Sound Sleeper - calming, soothing sounds of nature, relaxing melodies, ambiance, and white noise generator for relaxation, meditation, rest and better sleep",same
"Sound Sleeper: calming soothing sounds of nature and white noise generator for newborn, infant and baby with sleep tracking","Sound Sleeper: calming soothing sounds of nature, relaxing melodies and white noise generator for newborn, infant and baby with sleep tracking",same
"South Florida's news, weather, sports source","7News Miami - South Florida's news, weather, sports source",same
"Southern Europe Trip Planner, Travel Guide & Offline City Map","Greece and Cyprus Trip Planner, Travel Guide & Offline City Map",same
"Space 1999 - Memory, Stickers and Colors Games for Kids","Space 1999 - Matching, Stickers and Colors Games for Kids",same
"SpeakingPal English Tutor, Learn English, Speak English","Learn English, Speak English with SpeakingPal English Tutor",same
"SpeakingPal English Tutor, Learn English, Speak English","Learn English, Speak English with SpeakingPal English Tutor",same
"SpeakingPal English Tutor, Speak in a Video Dialog, Learn English","SpeakingPal English Tutor, Learn English, Speak English",same
"Speek - Conference Calls, Online Meetings, Business Communication","Speek - Free Conference Call, Online Meetings, Business Communication, Group Calls, International Calling, Phone Audio Bridge",same
"Spill - Get real about life anonymously. Hear honest opinions from people who can relate. Share your advice with other people in high school, college, graduate school, and beyond.","Spill - Get real about life anonymously. Hear honest opinions from people who can relate. Share your advice with other people in high school, college, graduate school, & beyond. Spillnow.",same
"Split Pic Photo Editor - Clone Yourself, Mirror Effect IG Edits with Filters + Pic Collage Blender with Facebook Friends","Split Pic Photo Editor - Clone Yourself, Mirror Effect IG Edits with Filters + Snap Pic Collage Blender with Facebook Friends",same
"Spoof (Charades, Pictionary, Taboo Party Game )","Spoof: Charades, Pictionary, Taboo Party Game",same
"Spoof (Free Charades, Pictionary, or Taboo Alternative)","Spoof (Charades, Pictionary, Taboo Party Game )",same
"Stepwise - iPhone 5S Pedometer & Trip Counter, Daily Step Counter & History. Including Distance and Goal.","Stepwise - iPhone 5s Pedometer & Trip Counter, Daily Step Counter & History. Including Distance and Goal.",same
"Stickers Chat, sticker for WhatsApp, Viber,Zalo, Webo, Instagram, Line, SnapChat, Wechat, Tango, Kakao talk","Stickers Chat, sticker for WhatsApp, Viber, Zalo",same
"Stickers Free for WhatsApp, LINE, KakaoTalk, Kik Messenger, WeChat, Messages, Zoosk, BBM & Facebook - Emoji Keyboard with Pop Emojis & Emoticons icons - Animation Emoji","Stickers Free for WhatsApp, WeChat, Kik or Messages & More - Hot Emoji Keyboard Pop & Not Animation Emoticons icons",same
"Stickers Pro for WhatsApp, LINE, KakaoTalk, Kik Messenger, WeChat, Messages, Zoosk, BBM, Facebook, Hangouts, Snapchat, Clumsy Ninja & Bitstrips - Emoji Keyboard with Pop Emojis & Emoticons icons - Animation Emojis","Stickers Pro for Messages, WeChat & More - Emoji Keyboard with Pop Emojis & Emoticons icons - Animation Emojis",same
"Stickers for X'mas - Christmas Santa Emojis Support WhatsApp, LINE, KakaoTalk, Kik Messenger, WeChat, Messages, Zoosk, BBM, Facebook, Hangouts, Snapchat, Clumsy Ninja & Bitstrips - Emoji Keyboard with Pop Emojis & Emoticons icons - Animation Emojis",Stickers for X'mas - Christmas Santa Emojis,same
"Stickers, Chat icon,Sticker for WhatsApp,Viber,Zalo,Webo,Instagram,Line,SnapChat","Stickers, Chat icon,Sticker for WhatsApp,Viber,Zalo,Line",same
"Street View Shuffle - Discover the Americas, Find Street Views, Read Nearby Wikipedia Articles","Street Shuffle: Discover the Americas, Find Street Views, Read Nearby Wikipedia Articles",same
"Street View Shuffle Australia - Discover Australia, Find Street Views, Read Nearby Wikipedia Articles","Street Shuffle Australia: Discover Australia, Find Street Views, Read Nearby Wikipedia Articles",same
"Street View Shuffle Europe - Discover Europe, Find Street Views, Read Nearby Wikipedia Articles","Street Shuffle Europe: Discover Europe, Find Street Views, Read Nearby Wikipedia Articles",same
"Success Quotes Wallpaper -Inspirational Quotes with motion effects,free unlimited backgrounds of quotes with your photos",Quotes For Success,same
"Sudrubi, the puzzle","Sudrubi, the Most Difficult Game in the World",same
"Super Adventurer Free, all free","Super Adventurer Free(monster strike,pick diamonds and coins)",same
"Super Txt - free colors, fonts, emojis for texting","Big Emoji for Texting, Facebook & Twitter",same
"Superimpose Me - Simple Easy to Use Photo Chop, Cut and Paste Juxtapose & Adjust yr Picture Photo Image to a Background, Share on Instagram- totally unaffiliated with Adobe Photoshop!","SuperImpose - Cut Paste Then Overlap or Overlay yr Image to a Background, Share on fb",same
"Sōsh City Guide: SF, NYC Events, Restaurants, Nightlife, Bars, Brunch, Local Foodie Spots & Best Hikes – Calendar for Tonight & the Weekend (San Francisco, New York City, Brooklyn, Sosh)","Sosh - City Guide for SF, NYC",same
"TIMERS PRO - Tabata, Functional Fitness WOD, Hiit, and Interval Timers used in the Official CrossFit Open Videos","TIMERS PRO - Tabata, Functional Fitness WOD, Hiit, and Interval EMOM Timers used in the Official CrossFit Open Videos",same
"TastemakerX - Curate, listen to and share music collections of the artists you love","TastemakerX Music - Get your favorite artists’ music, videos, photos, news and concerts, all in one place",same
"Teacup Fliers- A Fun Tea Party Game for Girls, Boys and Kids of All Ages!","Teacup Fliers- Tea Party Fun Games for Girls, Boys and Kids of All Ages!",same
"The Big Animal Quiz - Reveal your favorite Pets from the ocean, jungle and farm play that delightful puzzle with your tots","Animal Quiz Saga - Reveal your favorite Pets from the ocean, jungle and farm play that delightful puzzle with your tots",same
"The Camo Clock - Modern Military, Camping & Hunting Styled Clock App","Adventure Camo Clock - Modern Military,Camping, Fishing & Duck Hunting Styled Outdoor App",same
"The Definitive FPS Combat Manual for Call of Duty Black Ops, Ghosts, Halo & Battlefield","The Definitive FPS Combat Manual for Call of Duty Ghosts, Black Ops & Battlefield",same
"The Wired Bunch: Issue 2 - Interactive Children's Story Books, Read Along Bedtime Stories for Preschool, Kindergarten Age School Kids and Up",The Wired Bunch: Issue 2 - Interactive Children's Story Book,same
"Thinking Time Pro – Brain Training for Kids. Enhance Memory, IQ, Logic, Attention + Key Cognitive Skills. See what parents call Lumosity for kids! The science makes us smarter.","Thinking Time Pro – Brain Training for Kids. Learn Memory, IQ, Logic, Attention + Key Cognitive Skills. Play what parents call Lumosity + Fit Brains for kids. The science makes us smarter. Einstein.",same
"Thinking Time! – Brain Training for Kids. Enhance Memory, IQ, Logic, Attention + Key Cognitive Skills. See what parents call Lumosity for kids FREE! The science makes us smarter.","Thinking Time – Brain Training for Kids. Learn Memory, IQ, Logic, Attention + Key Cognitive Skills. Play what parents call Lumosity + Fit Brains for kids FREE! The science makes us smarter. Einstein.",same
"TinyHands Children educational Lotto matching puzzle games, toddlers & babies learning first words recognition: animals, shapes...","TinyHands childrens educational Lotto matching puzzle games, toddler & baby learning first words, Ipad apps for boys & girls",same
"Tipp24.com – Lotto 6aus49, Euro Millones, EuroJackpot, Keno, Glücksspirale, Sofortlotterien","Tipp24.com - Lotto 6aus49, Euro Jackpot, Euromillions und mehr",same
"Title 21 Code of Federal Regulations - Food and Drugs (FDA, DEA, ONDCP regs)",21 CFR - Food and Drugs (Title 21 Code of Federal Regulations),same
"Tiến lên miền nam, phỏm, ba cây, tá lả - Beme","Phỏm, ba cây, xâm, mậu binh - Beme",same
"Tokyo, Japan Offline Map","Tokyo, Japan Offline Map - PLACE STARS",same
"Toonia Storymaker - Create, Read, Share Illustrated Stories - Educational Toy for Kids","Toonia Storymaker - Learn Storytelling Techniques and Make Picture Books, Comics & Cartoons with Kids Storybook Creator for Boys & Girls",same
"TourPal Travel Guide, Hotel booking & Offline Maps App. Audio Tour & Restaurants Guides","TourPal Travel Guide, Hotel booking & Map App. Audio Tour Guides Advisor with Restaurants, Walking Tours, Bars, Walks, & City Trip GPS Offline Maps",same
"Transit App – Real-Time Tracker & Directions for Bus, Subway, Metro and Bike including Offline Schedules","Transit App – Real-Time Tracker & Directions for Bus, Subway and Metro including Offline Schedules",same
"Treasure Hunt - Free Search & find concealed and hidden objects as you search for gold, gems and riches",Free Hidden Object Games : Treasure Hunt - seek missing objects & hidden pictures in this pocket puzzle game,same
"Tripwise - Travel guide, phrase book & safety advice","Tripwise by Travel Insurance Direct – Travel insights, phrase book & safety advice",same
"True Blue – Everything Royals Baseball - News, Schedules, Scores, Stats, Videos and Photos",True Blue - News for Royals Baseball,same
"TubeRed for Youtube - Free Video Player for Youtube Clips, TV-shows and Movies Streaming","Fox.Tube for Youtube - Free Video Player for Youtube Clips, TV-shows and Movies Streaming",same
"Turkey, Israel and United Arab Emirates Trip Planner, Travel Guide & Offline City Map","Turkey, Israel and United Arab Emirates Trip Planner, Travel Guide & Offline City Map for Istanbul, Jerusalem, Tel Aviv, Dubai...",same
"UK Holidays (Bank, School, Official, England, Scotland, Wales, Northern Ireland) - HolidayCal","UK Holidays 2014 FREE (Bank, School, Official, England, Scotland, Wales, Northern Ireland) - HolidayCal",same
"UK Holidays PRO (Bank, School, Official, England, Scotland, Wales, Northern Ireland) - HolidayCal","UK Holidays 2014 (Bank, School, Official, England, Scotland, Wales, Northern Ireland) - HolidayCal",same
"USA & Canada Trip Planner, Travel Guide & Offline City Map","USA & Canada Trip Planner, Travel Guide & Offline City Map for New York, San Francisco, Los Angeles, Washington D.C., Las Vegas and more",same
"USB Love (file manager,downloader,music and video player,e-book reader,dropbox client)","File Manager (media player, eBook reader, downloader)",same
"USB Love+ (file manager,downloader,music and video player,e-book reader,dropbox client)","File Manager+ (media player, eBook reader, downloader)",same
"Unofficial Guide + Cheats for Skyrim! Complete with Walkthrough, Tips, Tricks, Strategy, Secrets & MORE!",Guide + Cheats for Deer Hunter 2014,same
"VOTOPIN™ - Share, Meet, and Win","VOTOPIN™ - Share, Chat, and Win",same
"Vermont, USA Offline Map","Vermont, USA Offline Map - PLACE STARS",same
"Veselé zvieratá pre dieti - Vzdelanie, Puzzle, Hra pre dieti, Zvieratá, Včela, Veverka, Ryba, Žaba, Ovca, Krava, Zebra, Žirafa","Veselé zvieratá pre dieti - Vzdelanie Slovenský Hra pre dieti, Zvieratá, Včela, Veverka, Ryba, Žaba, Ovca, Krava, Zebra, Žirafa",same
"Video & Music Player PRO Free - Play Xvid, MKV, AVI, WMV, MOV, VOB, DivX, MP4 media","Video & Music Player PRO - Play Xvid, MKV, AVI, WMV, MOV, VOB, DivX, MP4 media",same
"Video filter FX PRO - Record live clips with movie filters, film maker, camera photo effects for your Instagram, Facebook & Viddy likes - iOs 7 ready","Video filter FX PRO - Record live clips with movie filters, film maker, camera photo effects for your Instagram, Facebook & Viddy likes - iOS 7 ready",same
"VideoMusic Mixer (Add musics,text,logo,photo to video and share)","RevoNotes (Pen pro, take note & annotate pdf, audio notepad with sync pro)",different
"Vippie - Instant Messenger: Free Messages, Free Voice & Video Calls","Vippie - instant messenger - free calls & video calls, free messages, cheap calls",same
"Voice Translator with speech recognition for 20+ languages like English, Spanish, German, Portuguese, Russian, Italian, Japanese, French, Chinese, Arabic, Croatian, Czech, Danish, Dutch, Finnish, Greek, Korean, Norwegian, Polish, Romanian and more","Voice Translator with speech recognition for ~30 languages like English, Spanish, German, Portuguese, Russian, Italian, Japanese, French, Chinese, Arabic, Croatian, Czech, Danish, Dutch, Finnish, Greek, Korean, Norwegian, Polish, Hindi, Thai and more",same
"WNM Live - Browse, Chat, and Meet Locally",Nearby (WNM Live),same
"Wallax - Scale, Resize & Make your own wallpapers for iOS 7","Wallax - Wallpaper Tweaks, Fix, Scale, Resize & Make your own wallpapers for iOS 7",same
"Wallax - Wallpaper Tweaks, Fix, Scale, Resize & Make your own wallpapers for iOS 7","Wallax - Fix Wallpaper, Scale, Resize & Make your own wallpapers for iOS 7 home screen, lock screen & background with your own photos",same
"Wallpaper Memo - Wallpaper, TODO Easy Creating",Wallpaper TODO Task Idea Sticky Note Easy Creating - Wallpaper Memo,same
"Wallpaper7 Xmas Edition - Christmas/Santa Claus Wallpapers & Colorful Backgrounds for Whatsapp, Hangouts, Viber","Wallpaper7 New Year / XMas 2014 Edition - Happy New Year/Christmas/Santa Claus Wallpapers & Colorful Backgrounds for Whatsapp, Hangouts, Viber",same
"Washington DC, USA Offline Map","Washington DC, USA Offline Map - PLACE STARS",same
"Watch Widgets: Customize Your Watch Face - Emoji, Text and Icons","Watch Widgets: Customize Your Watch Face - Emoji, Text, Photos and Icons",same
"WeFlii - Local Chat, Meet, Events, Date","WeFlii - Chat, Meet, Events, Date, Local",same
"Wealthy Citrus - Joyful, interesting, multiple platforms, real-time network game","Wealthy Citrus - Joyful, interesting, multiple platforms, real-time network game. Wealthy Citrus, Cookies, Tianjin Goubuli Bun, Gold, Delicious Garlic.",same
"Wealthy! - Take photo, share, and track your expenses at one step!","Wealthy! - Take photo, share, and track expenses at one step!",same
"Weight Diary - Track your weight, keep healthy","Weight Diary Pro - Track your weight, keep healthy",same
"Western Europe Trip Planner, Travel Guide & Offline City Map","Trip Planner, Travel Guide & Offline City Map for Western Europe - Germany, Netherlands, Austria, Switzerland, Belgium, Luxembourg and more",same
"WiFi Finder Free - hotspots and passwords for free internet access, WiFi map with cities and places","WiFi Finder Free - internet access, hotspots and passwords, WiFi map with cities and places",same
"WiFi伴侣-移动,电信,联通,上网,360,91,快播,随e行,热点,助手,万能钥匙,流量,CMCC","WiFi伴侣-移动,电信,联通,上网,万能钥匙,流量,CMCC,ChinaNet",same
"Wine Cellar Database (Manage Your Pro Vino Pocket Notes Assistant, Up Ratings Tracker Tasting Info, Delectable like Food Parings, a Red and White Wine Searcher, Winefinder, and Cocktails Cellartracker)","Wine Cellar Database ( - Manage Your Pro Vino Pocket Notes Assistant, Ratings Tracker Tasting Info, Delectable like Food Parings You Love, a Red and White Wine Searcher, and Cocktails Cellartracker)",same
"Winter Camera - Xmas & New Year 2014 Edition. Create mystery photos & congratulate your friends! Holiday fx, beautiful frames, decor and fonts included","Winter Postcard & Photo editor. Congratulate your friends: holiday fx, frames, decor and font included",same
"Wist City Guide: NYC, LA, Miami Restaurants, Bars, Brunch, Dinner, Happy Hour, Local Food Spots, Coffee Shops recommendations nearby (DC, Boston, Chicago, New York City, Los Angeles, Hollywood, Washington DC, Manhattan, Cambridge, Brooklyn)","Wist City Guide: NYC, LA, SF Restaurants, Bars, Brunch, Dinner, Happy Hour, Local Food Spots, Coffee Shops recommendations (Miami, Boston, Chicago, New York City, Los Angeles, Hollywood, Washington DC, Manhattan, San Francisco, Brooklyn, Sacramento)",same
"WordsFinderLite for crossword, puzzle, wordfeud and rhyme","English Words Finder Lite - find the best words for crossword, Wordfeud, Scrabble, cryptogram, anagram, spelling and rhyme",same
"Yangon, Burma Myanmar Map - PLACE STARS","Yangon, Burma (Myanmar) Map - PLACE STARS",same
"Yodha My Astrologer - Love and Horoscope Compatibility, Daily Astrology, Zodiac Sign and Much More!","Yodha My Astrologer - Love Horoscope Compatibility, Zodiac Signs, Free Daily Horoscopes, 2014 Astrology Chart, Match test and Much More!",same
"You Doodle Pro - A Collaborative Blackboard / Whiteboard for Drawing, Sketching and Learning with Friends","You Doodle Pro - Draw, Sketch and Learn with Friends with a Collaborative Blackboard / Whiteboard",same
"YourMoments - Pic Collage Maker, Photo Edit, Pictures Frame Editor for Flickr, Tumblr Free","YourMoments - Pic Collage Maker,Photo Edit Apps,Pictures Frame Editor for Flickr,Tumblr Free",same
"ZDbox-battery doctor,memory,flashlight",ZDbox,same
"Zentimer -Yoga, meditation and workout timer","Zentimer for Yoga, meditation and interval workouts",same
"Zentimer for Yoga, meditation and interval workouts","ZenActivity timer for Yoga, meditation and interval workouts",same
"Zip/Unzip,Unrar & File Manager Pro for Dropbox, GoogleDrive, SkyDrive","Zip/Unzip, Unrar & File Manager Pro for Dropbox, GoogleDrive, SkyDrive",same
"a Restaurant Game for kids, girls, boys",Restaurant Kids,same
"aacorn AAC - The Intelligent Solution for Children with Autism, Apraxia, Cerebral Palsy, Down Syndrome, MS and Developmentally Delayed Speech",aacorn AAC,same
"birth control pills, UTI treatment, flu treatment, acid reflux, hair loss, sinus infections (CA & PA only)","Lemonaid - $15 doctor visit fee. CA, MI, NY, PA only",different
"biz Headlines: Business, Finance and Money News - free app","Wall Street Day: Business, Stock Market & Finance News",same
"brave loli(loli,girl,be funny)",brave loli,same
"doctape Viewer - the ultimate document, image, video & audio viewer","doctape viewer - Free Media Player & File Manager! Organize, view and convert documents, photos, images + audio & video files.",same
"e家洁家政-保洁,家庭保洁,找钟点工,做饭工,小时工整理房间做家务做菜美食,阿姨帮天天赶集找上门服务工作,下厨房垃圾清理,家居桌面清理安全管家,我爱养成干净习惯,畅拨阿姨电话",e家洁家政,same
"iAdriatic - Croatian travel maps and guides, books and travelogues",Croatian Adriatic - guide books and travel maps,same
"iAllowance LT: Allowances, Chores & Rewards w/Sync","iAllowance Free (Allowances, Chores & Rewards w/Sync)",same
"iAllowance: Allowances, Chores & Rewards w/Sync","iAllowance (Allowances, Chores & Rewards w/Sync)",same
"iBudgetPro - Budget Manager,expense,income,budget,wallet,money","iBudgetPro - Budget Manager,expense,income,budget,wallet,money,trip",same
"iBudgetPro-הכנסות,הוצאות,ניהולתקציב,budget,expense,income","iBudgetPro-הכנסות,הוצאות,ניהולתקציב,budget,expense,income,trip,טיול",same
"iCMD Remote Control - Send a Shutdown Message to WiFi Users, Run a Timer, and Disable or Enable Wireless Router","iCMD WiFi Router Remote / Parental Control - Send a Shutdown Message to Users, Run a Timer, and Disable or Enable Your Wireless Internet Network",same
"iDot Blitz: Best Fun,Addictive,Logical Brain Teaser and Challenging Time Killer dots connecting Games which joins or connect splashy dot to create line, square, rectangle, polygon, hexagon","iDot Fruit Pop Blitz: Best Fun,Addictive,Logical Brain Teaser and Challenging Time Killer dots connecting Games which joins or connect splashy dot to create line, square, rectangle, polygon, hexagon",same
"iDot: Best Fun,Addictive,Logical Brain Teaser and Challenging Time Killer dots connecting Games which joins or connect splashy dot to create line, square, rectangle, polygon, hexagon","iDot Blitz: Best Fun,Addictive,Logical Brain Teaser and Challenging Time Killer dots connecting Games which joins or connect splashy dot to create line, square, rectangle, polygon, hexagon",same
"iDownloads PLUS - Download mp3 music, movies, ringtones, books from web browser","iDownloads PLUS - Download Manager : iDownload mp3 music, movies, ringtones, books from web browser",same
"iDownloads PRO - iDownload mp3 music, movies, ringtones, books from web browser","iDownloads PRO - Download Manager : iDownload mp3 music, movies, ringtones, books from web browser",same
"iMaxPain - Free : Max Pain Calculator with Stock Chart, Watchlist and Hotlist, Realtime Quotes","iMaxPain Pro - Free : Max Pain Calculator with Stock Chart, Watchlist and Hotlist, Realtime Quotes",same
"iMaxPain : Options Max Pain Calculator, Tracker and Stock Scanner","iMaxPain : Pro Options Max Pain Calculator, Tracker and Stock Scanner with Realtime Quotes",same
